,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
64,2020-08-29T05:10:14.086Z,36.6349,2.0316,10.0,3.6,mb,undifined,142.0,2.603,0.8,us,us7000bexl,2020-09-16T09:37:08.809Z,"36 km WNW of Hadjout, Algeria",earthquake,4.9,2.0,0.25,4.0,reviewed,us,us
79,2020-08-13T08:04:48.379Z,36.4252,2.7574,10.0,4.4,mb,undifined,147.0,3.2239999999999998,0.73,us,us6000bdvu,2020-09-16T09:08:14.040Z,"4 km SSE of Chiffa, Algeria",earthquake,6.5,1.9,0.096,31.0,reviewed,us,us
82,2020-08-08T23:00:31.183Z,36.6666,1.9857,10.0,4.5,mb,undifined,70.0,2.557,0.57,us,us6000bb8l,2020-08-28T01:27:05.029Z,"41 km WNW of Hadjout, Algeria",earthquake,6.9,1.9,0.094,33.0,reviewed,us,us
85,2020-08-07T11:13:34.544Z,36.5773,6.3168,10.0,4.5,mb,undifined,49.0,2.592,0.76,us,us6000baiw,2020-09-06T05:25:25.313Z,northern Algeria,earthquake,3.6,1.8,0.07,60.0,reviewed,us,us
86,2020-08-07T06:15:37.835Z,36.5497,6.2708,10.0,5.0,mww,undifined,44.0,2.6189999999999998,0.76,us,us6000bag6,2020-10-11T07:55:55.701Z,"3 km NNE of Sidi M̩rouane, Algeria",earthquake,6.8,1.9,0.057999999999999996,29.0,reviewed,us,us
106,2020-07-17T08:12:44.146Z,36.461999999999996,6.2391,10.0,4.6,mb,undifined,60.0,2.6189999999999998,0.74,us,us7000aq6y,2020-09-26T16:58:33.040Z,"2 km WNW of Mila, Algeria",earthquake,2.9,1.9,0.08800000000000001,38.0,reviewed,us,us
122,2020-07-04T07:59:39.392Z,35.7124,6.2539,10.0,4.5,mb,undifined,72.0,2.516,0.49,us,us7000ahu7,2020-09-11T22:14:10.040Z,"18 km NNE of Batna, Algeria",earthquake,7.0,1.9,0.092,35.0,reviewed,us,us
382,2020-03-26T07:09:25.834Z,35.868,5.7575,10.0,5.0,mww,undifined,34.0,2.92,0.63,us,us70008g9a,2020-06-13T18:44:55.040Z,"23km NNE of Ras el Aioun, Algeria",earthquake,7.1,1.8,0.040999999999999995,58.0,reviewed,us,us
421,2020-03-04T09:05:57.461Z,35.9452,-0.7541,10.0,2.4,ml,undifined,209.0,1.65,0.27,us,us6000899x,2020-05-23T22:03:18.040Z,"22km N of 'Ain el Turk, Algeria",earthquake,6.3,2.0,0.18100000000000002,4.0,reviewed,us,us
422,2020-03-04T06:42:42.643Z,35.9603,-0.8135,10.0,2.3,ml,undifined,233.0,1.63,0.67,us,us6000899s,2020-05-23T22:03:18.040Z,"24km N of 'Ain el Turk, Algeria",earthquake,8.3,2.0,0.18100000000000002,4.0,reviewed,us,us
433,2020-02-21T02:55:18.191Z,36.7277,5.6067,10.0,4.5,mb,undifined,73.0,3.182,0.68,us,us70007tzd,2020-05-09T21:41:05.040Z,"17km SW of Jijel, Algeria",earthquake,4.2,1.9,0.08900000000000001,37.0,reviewed,us,us
502,2020-01-24T07:24:18.855Z,36.7355,5.6011,10.0,4.9,mww,undifined,48.0,3.188,0.88,us,us60007eif,2020-04-11T18:20:43.040Z,"17km WSW of Jijel, Algeria",earthquake,6.6,1.9,0.08900000000000001,12.0,reviewed,us,us
660,2019-10-18T15:54:11.302Z,35.5205,-1.1122,10.0,4.5,mb,undifined,156.0,2.064,1.19,us,us70005vin,2020-01-03T16:09:31.040Z,"8km W of El Amria, Algeria",earthquake,5.1,1.9,0.15,13.0,reviewed,us,us
736,2019-08-23T11:40:54.429Z,36.4549,3.4372,10.0,4.3,mb,undifined,147.0,3.727,0.5,us,us700057im,2019-11-08T22:13:44.040Z,"18km SW of Lakhdaria, Algeria",earthquake,8.8,2.0,0.177,9.0,reviewed,us,us
777,2019-07-13T09:56:35.400Z,37.0991,5.7497,10.0,4.9,mww,undifined,54.0,3.025,0.57,us,us70004jiv,2019-09-28T20:01:18.040Z,"30km N of Jijel, Algeria",earthquake,6.5,1.8,0.065,23.0,reviewed,us,us
806,2019-06-10T13:26:19.098Z,35.5435,4.9428,36.97,4.1,mb,undifined,92.0,3.591,0.97,us,us70003xn7,2019-08-27T17:48:07.040Z,"39km S of Bordj Ghdir, Algeria",earthquake,8.2,9.1,0.213,6.0,reviewed,us,us
